Country,Country Code,Year,Currency,budget_deficit,budget_deficitsurplus,budget_surplus,capital_expenditure,consumer_price_index_cpi,defence_expenditure,education_expenditure,expenditure,exports,food_inflation_yoy,gdp_growth_rate,gdp_per_capita,government_debt,health_expenditure,imports,interest_rate,labour_force,nominal_gdp,population,real_gdp,revenue,tax_revenue,unemployment_rate,value_added_tax_vat
Algeria,DZA,2008,DZD,,,,,,,,,,,,,,,,,,11649694.0,,,,,,
Algeria,DZA,2008,USD,,,,,,,,,78.6,,,,,,-37.99,,,,,,,,,
Algeria,DZA,2009,DZD,,,,,,,,,,,,,,,,,,10920163.0,,,,,,
Algeria,DZA,2009,USD,,,,,,,,,45.2,,,,,,-37.4,,,,,,,,,
Algeria,DZA,2010,DZD,,,,,,,,,,,,,,,,,,13224716.0,,,,,,
Algeria,DZA,2010,USD,,,,,,,,,57.1,,,,,,-38.89,,,,,,,,,
Algeria,DZA,2011,DZD,,,,,,,,,,,,,,,,,,15924670.0,,,,,,
Algeria,DZA,2011,USD,,,,,,,,,72.9,,,,,,-46.93,,,,,,,,,
Algeria,DZA,2012,DZD,,,,,,,,,,,,,,,,,,17611810.0,,,,,,
Algeria,DZA,2012,USD,,,,,,,,,71.7,,,,,,-51.57,,,,,,,,,
Algeria,DZA,2013,DZD,,,,,,,,,,,,,,,,,,18231035.0,,,,,,
Algeria,DZA,2013,USD,,,,,,,,,64.9,,,,,,-54.99,,,,,,,,,
Algeria,DZA,2014,DZD,,,,,,,,,,,,,,,,,,19253765.0,,,,,,
Algeria,DZA,2014,USD,,,,,,,,,60.1,,,,,,-59.67,,,,,,,,,
Algeria,DZA,2015,DZD,,,,,,,,,,,,,,,,,,18879025.0,,,,,,
Algeria,DZA,2015,USD,,,,,,,,,34.6,,,,,,-52.65,,,,,,,,,
Algeria,DZA,2016,DZD,,,,,,,,,,,,,,,,,,19783349.0,,,,,,
Algeria,DZA,2016,USD,,,,,,,,,29.3,,,,,,-49.44,,,,,,,,,
Algeria,DZA,2017,DZD,,,,,,,,,,,,,,,,,,21071656.0,,,,,,
Algeria,DZA,2017,USD,,,,,,,,,34.6,,,,,,-48.98,,,,,,,,,
Algeria,DZA,2018,DZD,,,,,,,,,,,,,,,,,,22683845.0,,,,,,
Algeria,DZA,2018,USD,,,,,,,,,41.1,,,,,,-48.57,,,,,,,,,
Algeria,DZA,2019,DZD,,,,,,,,,,,,,,,,,,23090099.0,,,,,,
Algeria,DZA,2019,USD,,,,,,,,,35.3,,,,,,-44.63,,,,,,,,,
Algeria,DZA,2020,DZD,,,,,,,,,,,,,,,,,,20902124.0,,,,,,
Algeria,DZA,2020,USD,,,,,,,,,21.9,,,,,,-35.55,,,,,,,,,
Algeria,DZA,2021,DZD,,,,,,,,,,,,,,,,,,25153206.0,,,,,,
Algeria,DZA,2021,USD,,,,,,,,,38.6,,,,,,-37.47,,,,,,,,,
Algeria,DZA,2022,DZD,,,,,,,,,,,,,,,,,,32039527.0,,,,,,
Algeria,DZA,2022,USD,,,,,,,,,65.7,,,,,,-38.87,,,,,,,,,
Algeria,DZA,2023,DZD,,,,,,,,,,,,,,,,,,33638264.0,,,,,,
Algeria,DZA,2023,USD,,,,,,,,,55.0,,,,,,-42.96,,,,,,,,,
Algeria,DZA,2024,DZD,,,,,,,,,,,,,,,,,,35788498.8,,,,,,
Angola,AGO,1990,USD,,,,,,,,,3882700000.0,,,,,,,,,,,,,,,
Angola,AGO,1991,USD,,,,,,,,,3449200000.0,,,,,,,,,,,,,,,
Angola,AGO,1992,USD,,,,,,,,,3832700000.0,,,,,,,,,,,,,,,
Angola,AGO,1993,USD,,,,,,,,,2900400000.0,,,,,,,,,,,,,,,
Angola,AGO,1994,USD,,,,,,,,,3016700000.0,,,,,,,,,,,,,,,
Angola,AGO,1995,USD,,,,,,,,,3722700000.0,,,,,,,,,,,,,,,
Angola,AGO,1996,USD,,,,,,,,,5094800000.0,,,,,,,,,,,,,,,
Angola,AGO,1997,USD,,,,,,,,,5006700000.0,,,,,,,,,,,,,,,
Angola,AGO,1998,USD,,,,,,,,,3542900000.0,,,,,,,,,,,,,,,
Angola,AGO,1999,USD,,,,,,,,,5156500000.0,,,,,,,,,,,,,,,
